Folder Foto Tanaman https://drive.google.com/drive/folders/1xuIrua6khL1btxkMDoHzMf02LAqRrNAs?usp=sharing,,,,,,
"Anggit: peat, loam;    Novi: clay, silt;    Rhazes: sand, chalk",,,,,,
No,Tanaman,Foto,Deskripsi,Nama Latin,Tanah,Sumber Deskripsi
71,Mawar,TRUE,"Mawar (Rosa) adalah tumbuhan perdu dengan pohon yang berduri, dihiasi oleh bunga yang harum dan berwarna indah, terdiri dari daun bunga yang tersusun rapi. Tumbuhan ini mencakup ratusan jenis, tumbuh secara tegak atau merambat, dengan batang yang berduri dan bunga yang menawarkan keanekaragaman warna seperti merah, putih, merah muda, merah tua, dan beraroma harum. Mawar liar, yang mencakup lebih dari 100 spesies, sebagian besar dapat ditemui di belahan bumi utara dengan iklim sejuk. Jenis ini umumnya berupa semak berduri atau tanaman merambat yang dapat mencapai tinggi 2 sampai 5 meter, meskipun dalam kasus langka, tanaman merambat mawar dapat tumbuh hingga 20 meter di atas tanaman lain.

Sebagian besar spesies mawar memiliki daun panjang sekitar 5-15 cm dengan susunan dua-dua berlawanan (pinnate). Daun majemuk tersebut memiliki 3 hingga 9 atau 13 anak daun, serta daun penumpu (stipula) berbentuk lonjong, tepi beringgit, dan runcing di ujungnya. Mawar, meskipun sebagian besar bukan tanaman tropis, dapat tumbuh hingga setinggi 20 meter di daerah tropis di Asia Tenggara yang selalu hijau sepanjang tahun.

Bunga mawar terdiri dari 5 helai daun mahkota, kecuali jenis tertentu seperti Rosa sericea yang hanya memiliki 4 helai daun mahkota. Mawar menampilkan beragam warna termasuk putih, merah muda, kuning, dan biru pada beberapa spesies. Ovari terletak di bagian bawah daun mahkota dan daun kelopak.",Rosa,Loam,https://id.wikipedia.org/wiki/Mawar
72,Lavender,TRUE,"Lavender atau lavendel (serapan dari Belanda: lavendel) adalah genus tumbuhan berbunga dalam suku Lamiaceae yang tersusun atas 25-30 spesies. Asal tumbuhan ini adalah dari wilayah selatan Laut Tengah sampai Afrika tropis dan ke timur sampai India—Dunia Lama. Genus ini termasuk tumbuhan menahun, tumbuhan dari jenis rumput-rumputan, semak pendek, dan semak kecil. Tanaman ini juga tersebar di Kepulauan Canaria, Afrika Utara dan Timur, Eropa selatan (terutama Prancis selatan), Arabia, dan India; banyak darinya ditanam dan dikembangkan secara luas di iklim sedang sebagai tanaman hias, bahan kuliner, dan ekstrak minyak esensial untuk keperluan komersial. Tumbuhan ini sering ditemukan tumbuh liar di daerah di luar daerah asalnya.",Lavandula,Loam,https://id.wikipedia.org/wiki/Lavender
73,Geranium ,TRUE,"Geranium adalah anggota keluarga Geraniaceae yang mencakup sekitar 300 spesies tumbuhan abadi atau semak. Tumbuhan ini sebagian besar berasal dari Afrika Selatan. Bunga Geranium bervariasi dalam warna, termasuk putih, merah muda, merah, dan ungu. Kebanyakan spesies Geranium yang dibudidayakan merupakan hibrida dengan bunga ganda dan kombinasi warna serta kelopak bunga.

Proses perbanyakan Geranium dapat dilakukan dengan cara stek batang atau menggunakan biji, tetapi umumnya lebih umum dilakukan dengan stek batang. Tanaman ini biasanya mekar pada pertengahan musim panas, meskipun beberapa spesies mekar di musim semi dan musim gugur. Geranium dapat tumbuh dalam kisaran tinggi 6 inci hingga 4 meter tergantung pada varietasnya. Pertumbuhannya optimal terjadi di area dengan sinar matahari penuh dan tanah yang kering.

Selain sebagai tanaman hias, Geranium juga memiliki kegunaan lain. Minyak yang diekstrak dari Geranium, juga dikenal sebagai minyak Pelargonium, memiliki warna pucat kuning-coklat atau kehijauan dan aroma yang mirip dengan mawar. Minyak ini digunakan dalam industri parfum, sabun, dan salep sebagai bahan wewangian yang populer.",Pelargonium,Loam,https://id.wikipedia.org/wiki/Geranium
74,Rhododendron,TRUE,"Rhododendron (/ˌroʊdəˈdɛndrən/), yang sering disebut sebagai rhodies, adalah genus tumbuhan berkayu yang terdiri dari 1,024 spesies. Nama genus ini berasal dari bahasa Yunani Kuno, di mana ""rhódon"" berarti ""mawar"" dan ""déndron"" berarti ""pohon"". Tumbuhan ini termasuk dalam keluarga Ericaceae dan dapat ditemukan di berbagai wilayah, terutama di Asia dan Dataran Tinggi Selatan Pegunungan Appalachian di Amerika Utara. Rhododendron menjadi bunga nasional Nepal. Sebagian besar spesiesnya menghasilkan bunga yang mekar mulai dari akhir musim dingin hingga awal musim panas.",Rhododendron,Loam,https://id.wikipedia.org/wiki/Rhododendron
75,Kelapa Sawit,TRUE,"Kelapa sawit adalah jenis tumbuhan yang termasuk dalam genus Elaeis dan ordo Arecaceae. Tumbuhan ini digunakan dalam usaha pertanian komersial untuk memproduksi minyak sawit. Genus ini memiliki dua spesies anggota. Kelapa sawit Elaeis guineensis adalah spesies kelapa sawit yang paling umum dibudidayakan di dunia, terutama di Indonesia, dan sumber utama minyak kelapa sawit dunia. Kelapa sawit Elaeis oleifera adalah tanaman asli Amerika Selatan dan Tengah tropis, dan digunakan secara lokal untuk produksi minyak.

Kelapa sawit merupakan tumbuhan industri sebagai bahan baku penghasil minyak masak, minyak industri, maupun bahan bakar. Indonesia adalah penghasil minyak kelapa sawit terbesar di dunia. Di Indonesia penyebarannya di daerah Aceh, pantai timur Sumatra, Jawa, Kalimantan, dan Sulawesi. Terdapat beberapa spesies kelapa sawit yaitu E. guineensis Jacq., E. oleifera, dan E. odora. Varietas atau tipe kelapa sawit digolongkan berdasarkan dua karakteristik yaitu ketebalan endokarp dan warna buah. Berdasarkan ketebalan endokarpnya, kelapa sawit digolongkan menjadi tiga varietas yaitu Dura, Pisifera, dan Tenera, sedangkan menurut warna buahnya, kelapa sawit digolongkan menjadi tiga varietas yaitu Nigrescens, Virescens, dan Albescens. Secara umum, kelapa sawit terdiri atas beberapa bagian yaitu akar, batang, daun, bunga dan buah. Bagian dari kelapa sawit yang diolah menjadi minyak adalah buah.",Elaeis Guineensis,Loam,https://id.wikipedia.org/wiki/Kelapa_sawit
76,Bambu,TRUE,"Bambu, atau disebut juga buluh atau aur, adalah tanaman berbunga menahun hijau abadi yang termasuk dalam subfamili Bambusoideae dari famili Poaceae. Di beberapa wilayah, bambu dikenal dengan berbagai istilah seperti preng, pring, awi, tamiang, haur, aur, suluh, bangu, tabatiko, dan ute.

Bambu memiliki pertumbuhan yang sangat cepat, bisa mencapai 60 cm (24 inchi) atau lebih dalam sehari, tergantung pada kondisi tanah dan iklim. Sebagai tanaman dengan laju pertumbuhan tertinggi di dunia, bambu dapat tumbuh 100 cm (39 in) dalam 24 jam, meskipun laju pertumbuhan umumnya berkisar antara 3 hingga 10 cm (1,2–3,9 in) per hari. Pada periode Cretaceous, bambu pernah tumbuh secara besar-besaran di wilayah yang sekarang menjadi Asia.

Bambu termasuk dalam keluarga rumput-rumputan, yang menjelaskan laju pertumbuhan tinggi. Ketika dipanen, bambu dapat tumbuh kembali dengan cepat tanpa mengganggu ekosistem. Batang bambu muncul dari permukaan dengan diameter penuh, mencapai tinggi maksimum dalam satu musim tumbuh, dan tidak bertambah tinggi setelah tahun pertama.

Tanaman bambu sebaiknya dipanen pada usia tiga hingga tujuh tahun, saat batangnya mencapai kematangan. Bambu tidak akan menghasilkan tunas baru setelah dipanen atau tumbuh di tempat yang sama setelah runtuh.

Beberapa spesies bambu tropis sensitif terhadap suhu mendekati titik beku, sementara beberapa spesies di iklim sedang dapat bertahan hingga −29 °C (−20 °F). Bambu dari genus Phyllostachys dikategorikan sebagai spesies invasif di Amerika Serikat, dan perdagangan serta perbanyakan mereka ilegal.",Bambusa Vulgaris,Loam,https://id.wikipedia.org/wiki/Bambu
77,Tomat,TRUE,"Tomat merupakan tumbuhan siklus hidup singkat, dapat tumbuh setinggi 1 sampai 3 meter. Tumbuhan ini memiliki buah berwarna hijau, kuning, dan merah yang biasa dipakai sebagai sayur dalam masakan atau dimakan secara langsung tanpa diproses. Cara menanam tanaman tomat adalah disemai lebih dahulu, setelah tumbuh 4 daun sejati kemudian ditanam (dijadikan bibit terlebih dahulu). Panen dimulai usia 9 minggu setelah tanam selanjutnya setiap 5 hari.",Solanum lycopersicum,Loam,https://id.wikipedia.org/wiki/Tomat
78,Brokoli,TRUE,"Brokoli (Brassica oleracea L. Kelompok Italica) adalah tanaman yang sering dibudidayakan sebagai sayur. Brokoli adalah kultivar dari spesies yang sama dengan kubis dan kembang kol, yaitu Brassica oleracea. Brokoli berasal dari daerah Laut Tengah dan sudah sejak masa Yunani Kuno dibudidayakan. Sayuran ini masuk ke Indonesia belum lama (sekitar 1970-an) dan kini cukup populer sebagai bahan pangan.

Bagian brokoli yang dimakan adalah kepala bunga berwarna hijau yang tersusun rapat seperti cabang pohon dengan batang tebal. Sebagian besar kepala bunga tersebut dikelilingi dedaunan. Brokoli paling mirip dengan kembang kol, namun brokoli berwarna hijau, sedangkan kembang kol putih.

Cara menanam brokoli adalah disemai setelah tumbuh 3-4 daun sejati kemudian ditanam (dijadikan bibit terlebih dahulu). Masa panen adalah 55- 100 hari (tergantung varietas). Brokoli merupakan tanaman yang hidup pada cuaca dingin.",Brassica oleracea var. italica,Loam,https://id.wikipedia.org/wiki/Brokoli
79,Bunga Nafas Bayi,TRUE,"Gypsophila Paniculata, juga dikenal sebagai nafas bayi atau gypsophila biasa, adalah tanaman herba berbunga yang berasal dari Eropa tengah dan timur. Tanaman ini memiliki batang bercabang dengan bunga putih kecil yang membentuk awan indah di musim panas, memberinya julukan ""baby's breath."" Nama lainnya mungkin berasal dari aroma tanaman yang mirip susu asam, seperti ""ludah"" ​​bayi.

Habitat alaminya terletak di stepa dengan tanah kering, berpasir, dan berbatu, seringkali berkapur (gypsophila = ""menyukai kapur""). Tanaman ini ditemukan pertama kali oleh Johann Amman, ahli botani Swiss-Rusia, yang mengirimkan spesimen ke Linnaeus dari St. Petersburg.

Gypsophila panikulata populer sebagai tanaman hias taman dan tumbuh subur di tanah basa hingga netral dengan drainase baik di bawah sinar matahari penuh. Berbagai kultivar telah dikembangkan, termasuk 'Rosenschleier' yang mendapatkan Penghargaan Garden Merit dari Royal Horticultural Society dengan bunga ganda berwarna merah muda pucat.

Tanaman ini juga menjadi subjek perdagangan bunga dan sering digunakan sebagai latar belakang yang efektif untuk mekar yang lebih besar atau lebih terstruktur. Gypsophila panikulata dikomersialkan di Peru dan menjadi bagian utama dari ekspor bunga negara tersebut. Di Amerika Serikat, tanaman ini umumnya ditanam dan dijual untuk penggunaan dalam korsase.",Gypsophila Paniculata,Loam,https://en.wikipedia.org/wiki/Gypsophila_paniculata
80,Stroberi,TRUE,"Stroberi adalah buah dari keluarga Rosaceae yang memiliki banyak varietas, namun yang paling banyak dikembangbiakkan adalah stroberi kebun. Buah stroberi berwarna hijau keputihan ketika sedang berkembang, dan pada kebanyakan spesies berubah menjadi merah ketika masak. Namanya berasal dari bahasa Inggris kuno streawberige yang merupakan gabungan dari streaw atau ""straw"" dan berige atau ""berry"".",Fragaria × ananassa,Loam,https://id.wikipedia.org/wiki/Stroberi_kebun
81,Zukini,TRUE,"Zukini (dari bahasa Italia, zucchini (jamak) atau zucchino (tunggal)) adalah sejenis labu kecil yang buahnya dipanen sebelum matang untuk dijadikan sayuran. Sayuran ini merupakan salah satu bentuk budi daya dari Cucurbita pepo. Di Prancis, Inggris, dan negara-negara Benelux sayuran ini lebih populer sebagai courgette (dibaca ""kurzet""). Warna luar buahnya bisa kuning serta hijau tua atau muda. Bentuknya biasanya mirip mentimun, meskipun ada pula yang berbentuk bulat atau seperti botol, tergantung kultivarnya.",Cucurbita pepo var. cylindrical,Loam,https://id.wikipedia.org/wiki/Zukini
82,Mawar,TRUE,"Tumbuhan perdu, pohonnya berduri, bunganya berbau wangi dan berwarna indah, terdiri atas daun bunga yang bersusun. Mawar tumbuh subur di daerah beriklim sedang walaupun beberapa kultivar yang merupakan hasil metode penyambungan (grafting) dapat tumbuh di daerah beriklim subtropis hingga daerah beriklim tropis. Mawar dapat bermanfaat untuk antidepresan, antiviral, antibakteri, antiperadangan, dan sumber vitamin C.",Rosa,Clay,https://id.wikipedia.org/wiki/Mawar
83,Stroberi,TRUE,"Stroberi adalah buah dari keluarga Rosaceae yang memiliki banyak varietas, namun yang paling banyak dikembangbiakkan adalah stroberi kebun. Buah stroberi berwarna hijau keputihan ketika sedang berkembang, dan pada kebanyakan spesies berubah menjadi merah ketika masak. Namanya berasal dari bahasa Inggris kuno streawberige yang merupakan gabungan dari streaw atau ""straw"" dan berige atau ""berry"".",Fragaria × ananassa,Clay,https://id.wikipedia.org/wiki/Stroberi_kebun
84,Jeruk,TRUE,"Pohon jeruk banyak ditanam di iklim tropis dan subtropis karena bisa menghasilkan buah yang manis. Buah jeruk dapat dimakan segar atau diolah untuk jus, sedangkan kulitnya bisa dimanfaatkan untuk bumbu karena harum.",Citrus Sinensis,Clay,https://id.wikipedia.org/wiki/Jeruk
85,Apel,TRUE,"Buah apel biasanya berwarna merah kulitnya jika masak dan siap dimakan, tetapi bisa juga kulitnya berwarna hijau atau kuning. Kulit buahnya agak lembek dan daging buahnya keras. Buah apel memiliki beberapa biji di dalamnya.Orang mulai pertama kali menanam apel di Asia Tengah. Kini apel berkembang di banyak daerah di dunia yang suhu udaranya lebih dingin. Kebanyakan apel bagus dimakan mentah (tidak dimasak), dan juga digunakan banyak jenis makanan pesta. Apel dimasak sampai lembek untuk dibuat saus apel. Apel juga dibuat untuk menjadi minuman sari buah apel.",Malus Domestica,Clay,https://id.wikipedia.org/wiki/Apel
86,Pisang,TRUE,"Pisang dapat tumbuh subur di wilayah dengan musim kemarau yang berlangsung hingga 4,5 bulan. Curah hujan yang diperlukan oleh pisang untuk tumbuh dengan subur adalah 650 hingga 5.000 mililiter per tahun. Pisang dapat dipanen kapan saja, karena pertumbuhannya yang sesuai dengan segala jenis musim. Kematian pohon pisang hanya terjadi ketika berbuah hanya sekali semasa hidupnya. Buah pisang dapat langsung dimakan atau dimasak terlebih dahulu. Nutrisi di dalam pisang bermanfaat bagi kesehatan tubuh manusia dan dapat pula dibuat sebagai obat tradisional.",Musa,Clay,https://id.wikipedia.org/wiki/Pisang
87,Kentang,TRUE,"Tanaman ini merupakan herba (tanaman pendek tidak berkayu) semusim dan menyukai iklim yang sejuk. Di daerah tropis cocok ditanam di dataran tinggi. Kentang dikenali orang sebagai makanan pokok di luar negeri. Ini karena kentang mengandung karbohidrat. Di Indonesia sendiri, kentang masih dianggap sebagai sayuran yang mewah. Namun demikian, kentang adalah makanan yang enak serta sangat bernutrisi.Kentang juga dikenali mengandung sejumlah vitamin dari A, B-kompleks, hingga C, hingga asam folat, juga mineral, protein, karbohidrat, karotenoid, dan polifenol. Dalam kentang ini, juga ada zat solanin yang dikenal sebagai obat penenang, antikejang, antijamur, dan pestisidal.",Solanum Tuberosum,Clay,https://id.wikipedia.org/wiki/Kentang
88,Tomat,TRUE,"Tomat merupakan tumbuhan siklus hidup singkat, dapat tumbuh setinggi 1 sampai 3 meter. Tumbuhan ini memiliki buah berwarna hijau, kuning, dan merah yang biasa dipakai sebagai sayur dalam masakan atau dimakan secara langsung tanpa diproses. Cara menanam tanaman tomat adalah disemai lebih dahulu, setelah tumbuh 4 daun sejati kemudian ditanam (dijadikan bibit terlebih dahulu). Panen dimulai usia 9 minggu setelah tanam selanjutnya setiap 5 hari.",Solanum lycopersicum,Clay,https://id.wikipedia.org/wiki/Tomat
89,Kubis,TRUE,"Dalam budidaya, kubis adalah komoditas semusim. Secara biologi, tumbuhan ini adalah dwimusim dan memerlukan vernalisasi untuk pembungaan. Apabila tidak mendapat suhu dingin, tumbuhan ini akan terus tumbuh tanpa berbunga. Setelah berbunga, tumbuhan mati. Pada umumnya, kubis akan bertumbuh dengan baik manakala ia ditanam di dataran tinggi dengan ketinggian antara 1000-3000 mdpl. Kubis menyukai tanah yang sarang dan tidak becek. Meskipun relatif tahan terhadap suhu tinggi, produk kubis ditanam di daerah pegunungan (400m dpl ke atas) di daerah tropis.",Brassica oleracea,Clay,https://id.wikipedia.org/wiki/Kubis
90,Lavender,TRUE,"Lavender adalah tanaman dari wilayah selatan Laut Tengah sampai Afrika tropis dan ke timur sampai India. Tanaman ini termasuk tanaman dari jenis rumput-rumputan, semak pendek, dan semak kecil. Tanaman ini juga cocok hidup di wilayah tropis, termasuk Indonesia. Tanaman ini merupakan merupakan salah satu tanaman yang banyak digunakan sebagai komposisi atau bahan dalam berbagai produk kosmetik, liln aroma terapi, serta obat nyamuk.",Lavandula,Clay,https://id.wikipedia.org/wiki/Lavender
91,Kacang Panjang,TRUE,"Kacang panjang adalah salah satu tanaman sayuran yang populer dalam kuliner Asia Tenggara dan Asia Timur. Buah polongnya dimasak sebagai sayur atau dimakan mentah sebagai lalapan. Ia tumbuh dengan cara memanjat atau melilit. Bagian yang dijadikan sayur atau lalapan adalah buah (polong) yang masih muda dan serat-seratnya masih lunak.
Cara menanam tanaman kacang panjang adalah tanam langsung dengan memasukan 2–3 biji kedalam lubang sedalam 1–2 cm kemudian ditimbun tanah, berbunga pada umur 30 hari dan mulai panen umur 45 hari.",Vigna unguiculata,Clay,https://id.wikipedia.org/wiki/Kacang_panjang
92,Melon,TRUE,"Melon merupakan tumbuhan semusim, merambat tetapi menjalar, tidak memanjat. Daun berbentuk menjari dengan lekuk moderat sehingga seperti lingkaran bersudut. Batangnya biasanya tidak berkayu. Panen melon biasanya dilakukan setelah melon mulai berbuah, umumnya pada umur 20 hari setelah tanam. Buah sudah bisa diseleksi dan dipelihara hingga hari ke-60 setelah masa tanam untuk dipanen. Buah yang siap dipanen mempunyai ciri-ciri warna kulit yang mulai putih kekuningan, kulit buah putih berwarna kekuningan.",Cucumis melo L.,Clay,https://agri.kompas.com/read/2023/06/26/183927484/cara-menanam-melon-di-polybag-bisa-di-halaman-rumah?page=all
93,Kacang Hijau,TRUE,"Kacang hijau adalah sejenis palawija yang dikenal luas di daerah tropis yang termasuk suku polong-polongan dengan banyak manfaat dalam kehidupan sehari-hari sebagai sumber bahan pangan berprotein nabati tinggi. Kacang hijau di Indonesia menempati urutan ketiga terpenting sebagai tanaman pangan legum, setelah kedelai dan kacang tanah. Bagian paling bernilai ekonomi adalah bijinya. Biji kacang hijau direbus hingga lunak dan dimakan sebagai bubur atau dimakan langsung. Biji matang yang digerus dan dijadikan sebagai isi onde-onde, bakpau, atau gandas turi. Kecambah kacang hijau menjadi sayuran yang umum dimakan di kawasan Asia Timur dan Asia Tenggara dan dikenal sebagai tauge.",Vigna radiata,Clay,https://id.wikipedia.org/wiki/Kacang_hijau
94,Peperomia Obtusifolia,TRUE,Peperomia Obtusifolia adalah salah satu jenis tanaman hias populer yang banyak dipelihara orang. Tanaman ini menyukai cahaya terang tapi tidak langsung. Hindari meletakkannya di bawah sinar matahari penuh karena daunnya bisa terbakar dan menyukai kelembapan udara sekitar 50-60%,Peperomia,Clay,https://daunsuper.com/peperomia-obtusifolia/
95,Cendana,TRUE,"Cendana adalah pohon penghasil kayu cendana dan minyak cendana. Kayunya digunakan sebagai rempah-rempah, bahan dupa, aromaterapi, campuran parfum, serta sangkur keris. Cendana umumnya dijumpai pada daerah dengan kisaran curah hujan tahunan antara 600-2.000 mm. Habitat asli tempat tumbuh cendana biasanya mempunyai musim kering yang lama dan musim hujan yang pendek, 2- 3 bulan per tahun. Pohon cendana tidak menyukai daerah yang tergenang air, khususnya sewaktu pohonnya masih muda, meski hal ini agak kurang berpengaruh terhadap pohon yang sudah dewasa atau tua. Daerah-daerah yang selalu basah kurang baik untuk pertumbuhan cendana.",Santalum album,Clay,https://id.wikipedia.org/wiki/Cendana
96,Maple,TRUE,"Maple adalah pohon atau semak yang terdapat sekitar 128 spesies, kebanyakan berasal dari Asia, dengan beberapa juga ada di Eropa, Afrika utara, dan Amerika Utara. Hanya satu spesies, Acer laurinum, yang ada di Hemisfer Selatan. Spesies khas dari genus tersebut adalah maple sikamor, Acer pseudoplatanus, spesies maple paling umum di Eropa.[3] Di Indonesia, tumbuhan ini hanya ditemukan di sebagian kecil Sumatra dan Jawa. Biasanya ditemukan tumbuh liar di lahan kosong, hutan, atau gunung. Getah xilem daun maple diambil sebagai bahan baku pembuatan sirup maple yang digunakan untuk bahan pelengkap roti dan kue.",Acer,Clay,https://id.wikipedia.org/wiki/Maple
97,Buah Naga,TRUE,"Buah naga adalah buah dari jenis kaktus yang berasal dari Meksiko, Amerika Tengah dan Amerika Selatan namun sekarang juga dibudidayakan di negara-negara Asia seperti Taiwan, Vietnam, Filipina, Indonesia dan Malaysia. Buah naga dapat berkembang dengan kondisi tanah dan ketinggian lokasi apapun, tetapi tumbuhan ini cukup rakus akan unsur hara, sehingga apabila tanah mengandung pupuk yang bagus, maka pertumbuhannya akan baik. Dalam waktu 1 tahun, pohon buah naga dapat mencapai ketinggian 3 meter lebih.",Hylocereus polyrhizus,Clay,https://id.wikipedia.org/wiki/Buah_naga
98,Coneflowers,TRUE,"Bunga yang sekilas mirip jenis aster ini juga cocok tumbuh diatas lahan kasar. Punya batang yang kuat dan berbunga lebar, tampilan bunga ini bakal memikat siapapun yang lewat. Walaupun lebih menyukai kondisi lahan yang lembap, tapi tanaman ini cukup bisa bertahan di kondisi gersang. Coneflower juga butuh banyak setoran cahaya, jadi hindari lahan yang teduh ya. Kamu bisa temukan benih tanaman dengan berbagai varian warna, seperti nuansa pink, ungu, putih, hingga merah.",Echinacea,Clay,https://www.idntimes.com/life/diy/senja-sandera/rekomendasi-tanaman-yang-cocok-ditanam-di-lahan-kasar-c1c2
99,Bunga Matahari,TRUE,"Bunga matahari mampu hidup di daerah subtropis maupun tropis bahkan pada ketinggian hingga 1.500 mdpl. Untuk tumbuh dengan baik, bunga matahari membutuhkan sinar matahari penuh. Dalam penanaman komersial, benih ditanam dengan jarak 45 cm dan kedalaman 2,5 cm (0,98 in). Kuaci, atau biji bunga matahari, dijual sebagai makanan ringan mentah, atau setelah dipanggang dalam oven, dengan atau tanpa garam dan/atau bumbu yang ditambahkan. Bunga matahari dapat diolah menjadi alternatif selai kacang, selai bunga matahari.",Helianthus annuus L.,Clay,https://id.wikipedia.org/wiki/Bunga_matahari_biasa
100,Buncis,TRUE,"Buncis adalah sejenis polong-polongan yang dapat dimakan. Buah, biji, dan daunnya dimanfaatkan orang sebagai sayuran. Sayuran ini kaya dengan kandungan protein dan vitamin ini membantu menurunkan tekanan darah serta mengawal metabolisme gula dalam darah dan amat sesuai dimakan oleh mereka yang mengidap penyakit diabetes atau hipertensi. Kandungan serat dan enzim yang tinggi dapat membantu penurunan berat badan. Cara menanam tanaman buncis adalah tanam langsung dengan memasukan 2-3 biji kedalam lubang sedalam 1- 2 cm kemudian ditimbun tanah, panen biasanya sudah bisa dilakukan setelah 60 hari atau polong kacang sudah cocok disayur.",Phaseolus vulgaris,Clay,https://id.wikipedia.org/wiki/Buncis
101,Terong,TRUE,"Terung atau terong adalah tumbuhan penghasil buah yang dijadikan sayur-sayuran. Asalnya adalah India dan Sri Lanka. Tanaman ini tumbuh hingga 40–150 cm tingginya. Daunnya besar, dengan lobus yang kasar. Jenis-jenis setengah liar lebih besar dan tumbuh hingga setinggi 225 cm (7 kaki), dengan daun yang melebihi 30 cm dan 15 cm panjangnya. Batangnya biasanya berduri. Warna bunganya antara putih hingga ungu, dengan mahkota yang memiliki lima lobus. Benang sarinya berwarna kuning. Cara menanam tanaman terung adalah disemai, setelah tumbuh 4 daun sejati kemudian ditanam (dijadikan bibit terlebih dahulu). Panen dimulai pada 70-80 hari setelah semai selanjutnya setiap 5 hari.",Solanum melongena,Clay,https://id.wikipedia.org/wiki/Terung
102,Willow,TRUE,"Tanaman ini terkenal karena khasiatnya sebagai sumber aspirin alami yang dapat membantu meredakan rasa sakit dan peradangan. Melalui senyawa salicin yang terdapat dalam kulitnya, pohon willow telah digunakan secara tradisional sebagai obat herbal.  Akar willow yang kuat membuatnya menjadi pilihan yang efektif dalam pengendalian erosi tanah, rehabilitasi lahan basah, dan peningkatan kualitas air. Pohon willow tumbuh subur di bawah sinar matahari penuh dan tanah subur yang lembab dan memiliki drainase yang baik.",Salix,Silt,https://www.liputan6.com/hot/read/5454824/pohon-willow-manfaat-cara-menanam-dan-cara-merawatnya?page=5
103,Asparaguss,TRUE,"Asparagus adalah suatu jenis sayuran dari satu spesies tumbuhan genus Asparagus. Asparagus telah digunakan sejak lama sebagai bahan makanan karena rasanya yang sedap dan sifat diuretiknya untuk memperlancar saluran urin sehingga mampu memperbaiki kinerja ginjal. Asparagus merupakan sumber terbaik asam folat nabati, sangat rendah kalori, tidak mengandung lemak atau kolesterol, serta mengandung sangat sedikit natrium. ",Asparagus officinalis,Silt,https://id.wikipedia.org/wiki/Asparagus
104,Arbei Gunung,TRUE,"Tumbuhan ini dapat dijumpai di Asia Tenggara, Himalaya, Asia Timur dan bagian timur Australia. Tumbuhan ini hanya tumbuh di dataran tinggi pada ketinggian +-1000 meter diatas permukaan laut. Tumbuhan ini dapat dijumpai diarea terbuka atau didalam hutan. Buahnya berukuran 2 cm dan dapat dimakan ketika sudah matang saat buah sudah berwarna merah.[3] Buah dari tumbuhan ini berjenis buah agregat. Tumbuhan ini berbentuk semak. Batangnya memiliki duri yang tajam. Sering dijumpai ada anakan yang tumbuh dibawah tumbuhan ini.",Rubus rosifolius,Silt,https://id.wikipedia.org/wiki/Arbei_gunung
105,Bunga Iris,TRUE,"Tumbuhan ini yang mempunyai bunga berwarna kuning cerah dengan corak hitam di bagian tengah (bentuknya seperti bunga anggrek). Tumbuhan ini berasal dari Afrika Barat dan Amerika Selatan, namun juga dapat ditemukan di Indonesia. Salah satu tempat persebarannya adalah Gunung Prau. Umumnya, bunga iris dapat dimanfaatkan sebagai tumbuhan hias dalam ruang dan diperjualbelikan secara bebas. Tumbuhan ini merupakan salah satu jenis tumbuhan yang memiliki bentuk dan warna yang menarik dapat ditanam di dalam pot maupun di halaman rumah. Bunga ini memiliki manfaat untuk mengobati hepatitis, gusi bengkak, mual, sembelit dan rematik.",Neomarica longifolia,Silt,https://id.wikipedia.org/wiki/Bunga_iris
106,Jeruju,TRUE,"Jeruju merupakan tumbuhan semak dari keluarga Acanthaceae. Tumbuhan ini asli dari Australia, Australasia, dan Asia Tenggara. Tumbuhan ini biasanya digunakan untuk mengobati asma dan rematik. Jeruju umumnya tumbuh liar didaerah pantai, tepi sungai, serta tempat lain yang tanahnya berlumpur dan berair payau. Buah jeruju ditumbuk untuk mengatasi luka bakar, Daunnya dipakai untuk mengobati rematik, Perasan buah atau akar kadang-kadang digunakan untuk mengatasi gigitan ular atau terkena panah beracun. Tumbuhan ini juga bisa dipakai sebagai pakan ternak.",Acanthus ilicifolius,Silt,https://id.wikipedia.org/wiki/Jeruju
107,Talas,TRUE,"Talas merupakan tumbuhan penghasil umbi-umbian yang cukup penting. Talas merupakan makanan pokok, selain sukun, di beberapa kepulauan di Oseania. Di Indonesia, talas populer ditanam di hampir semua daerah. Umbi ini mengandung getah yang gatal, yang berbeda-beda ketajamannya menurut jenisnya, sehingga harus dimasak terlebih dulu sebelum dapat dikonsumsi. Terlalu banyak memakan talas menimbulkan rasa begah dan gangguan pencernaan. Umbi talas dapat diolah dengan cara dikukus, direbus, dipanggang, digoreng, atau diolah menjadi tepung, bubur, dan kue-kue.",Colocasia esculenta L.,Silt,https://id.wikipedia.org/wiki/Talas
108,Selada,TRUE,"Selada adalah tumbuhan sayur yang biasa ditanam di daerah beriklim sedang maupun daerah tropika. Kegunaan utama adalah sebagai salad. Selada digunakan dalam berbagai hidangan, termasuk sup, sandwich, dan bahkan bisa dipanggang. Selada umumnya ditanam sebagai tanaman kuat dan cukup mudah dikelola, namun membutuhkan suhu yang agak rendah untuk menghindari pembungaan segera",Lactuca sativa,Silt,https://id.wikipedia.org/wiki/Selada_(tumbuhan)
